,Date / Time,City,State,Shape
428,6/15/97 01:00,Peoria,IL,Disk
429,6/15/97 00:30,Lawton,MI,Fireball
430,6/15/97 00:00,Altamonte Springs,FL,Light
431,6/14/97 03:30,Newberg,OR,Other
432,6/14/97 00:00,Meridian,ID,Triangle
433,6/13/97 23:00,Orlando,FL,Circle
434,6/13/97 22:20,Franconia,PA,Fireball
435,6/13/97 16:00,Beverly Hills (adjacent),CA,Triangle
436,6/12/97 13:00,Hieleah,FL,Disk
437,6/11/97 21:20,San Angelo,TX,Other
438,6/11/97 11:00,Reno,NV,Cylinder
439,6/10/97 23:00,Zion Grove,PA,Light
440,6/10/97 22:30,"Golden (I-70 E, by exit for)",CO,Light
441,6/10/97 22:00,Louisville (directly over metropolitan area),KY,Other
442,6/10/97 21:30,Hart Mountain Elk Preserve,OR,Light
443,6/10/97 21:00,Rochester,NY,Triangle
444,6/10/97 16:00,Knoxville,TN,Triangle
445,6/10/97 12:00,New York,NY,Other
446,6/10/97 12:00,Newport,ME,Disk
447,6/9/97 22:30,Holly,MI,Triangle
448,6/9/97 12:00,Kalamazoo,MI,Formation
449,6/9/97 01:15,Monterey (north of),CA,Other
450,6/8/97 19:16,Renton,WA,Disk
451,6/8/97 15:00,Santa Clara,CA,Changing
452,6/7/97 19:30,Weatherford (2 & a half miles south of),OK,Fireball
453,6/7/97 03:00,Jeffersonville,IN,Light
454,6/6/97 18:00,Colorado (unspecified),CO,Disk
455,6/5/97 21:30,Hayward,CA,Other
456,6/5/97 16:00,New York City (Brooklyn),NY,Disk
457,6/4/97 20:30,Havelock,NC,Other
458,6/3/97 23:00,Coushatta,LA,Light
459,6/3/97 22:30,Spanaway,WA,Disk
460,6/2/97 01:30,Exeter/Kingston,NH,Disk
461,6/1/97 23:00,Shoreline,WA,Triangle
462,6/1/97 22:30,San Fransisco,CA,Formation
463,6/1/97 22:00,Richmond,CA,Other
464,6/1/97 22:00,Smithsburg,MD,Other
465,6/1/97 22:00,Park City,UT,Circle
466,6/1/97 21:30,El Paso,TX,Other
467,6/1/97 21:00,Hertford,NC,Triangle
468,6/1/97 21:00,Merritt Island,FL,Light
469,6/1/97 21:00,Springfield,MA,Chevron
470,6/1/97 21:00,Southern California Operations Area,CA,Triangle
471,6/1/97 21:00,McComb,OH,Triangle
472,6/1/97 21:00,Albany (area),NY,Other
473,6/1/97 20:00,Pelzer,SC,Triangle
474,6/1/97 20:00,Meriden,CT,Sphere
475,6/1/97 19:45,Houston,TX,Other
476,6/1/97 19:00,El Centro,CA,Chevron
477,6/1/97 18:00,Montebello,CA,Circle
478,6/1/97 16:00,Boston,MA,Triangle
479,6/1/97 14:00,Fresno (outside of),CA,Oval
480,6/1/97 12:00,Lashmeet,WV,Triangle
481,6/1/97 10:00,Waimanalo,HI,Oval
482,6/1/97 10:00,American Canyon,CA,Triangle
483,6/1/97 09:00,Garden Grove,CA,Other
484,6/1/97 08:00,Mt. Vernon,NY,Light
485,6/1/97 07:00,Hamilton,OH,Circle
486,6/1/97 06:35,Crestwood,KY,Circle
487,6/1/97 03:30,New Mexico,NM,Disk
488,6/1/97 03:00,Eden Praire,MN,Triangle
489,6/1/97 02:00,Rushcreek,IN,Other
490,6/1/97 01:00,North Bergen,NJ,Light
491,6/1/97 00:00,Houston,TX,Chevron
492,6/1/97,Austin,TX,Rectangle
493,6/1/97,Baltimore,MD,Chevron
494,6/1/97,Elma,WA,Disk
495,7/30/97 20:10,Gulf Breeze,FL,Formation
496,7/30/97 20:00,Navarre,FL,Circle
497,7/30/97 01:30,Fridley,MN,Fireball
498,7/30/97 01:00,Corpus Christi,TX,Oval
499,7/30/97 00:30,Lake Winnibigoshish (North Central MN),MN,Other
500,7/29/97 21:20,South Euclid,OH,Circle
501,7/29/97 20:30,Bloomsbury,NJ,Rectangle
502,7/28/97 23:30,Wayzata,MN,Fireball
503,7/28/97 21:30,Bristol,VA,Cigar
504,7/28/97 15:00,"Pete's Hole (near, a small lake in the Manti LaSal forest)",UT,Triangle
505,7/27/97 21:30,Las Cruces,NM,Light
506,7/27/97 02:53,Arlington,WA,Light
507,7/27/97 02:00,Medford,NJ,Triangle
508,7/26/97 18:00,Warrensburg,MO,Triangle
509,7/26/97 03:21,Arlington,WA,Changing
510,7/25/97 03:00,Colfax (closer to Weimar),CA,Fireball
511,7/24/97 21:45,Murphysboro,IL,Cylinder
512,7/23/97 23:00,Miami,FL,Formation
513,7/23/97 23:00,Miami,FL,Formation
514,7/23/97 21:30,Tooele (near),UT,Light
515,7/23/97 20:25,Phoenix,AZ,Triangle
516,7/23/97 20:00,Warrenton,VA,Triangle
517,7/23/97 13:30,Los Angeles,CA,Other
518,7/22/97 22:15,Hart Mountain (near Lakeview),OR,Triangle
519,7/22/97 22:00,Susquehanna,PA,Circle
520,7/22/97 14:00,Port Orford,OR,Cigar
521,7/22/97 11:45,Tequesta,FL,Fireball
522,7/20/97 23:30,Beaver Island,MI,Triangle
523,7/20/97 22:00,Conway,SC,Diamond
524,7/20/97 22:00,Buffalo,NY,Changing
525,7/20/97 20:00,Bridgehampton,NY,Triangle
